Authors,Title,Year,Source title,Cited by,Affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Language of Original Document,Document Type,Publication Stage,Source
[No author name available],"22nd International Conference on Asia-Pacific Digital Libraries, ICADL 2020",2020,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),,,"The proceedings contain 39 papers. The special focus in this conference is on Asia-Pacific Digital Libraries. The topics include: A Large-Scale Analysis of Cross-lingual Citations in English Papers; how Do Retractions Influence the Citations of Retracted Articles?; identification of Research Data References Based on Citation Contexts; a Predictive Model for Citizens’ Utilization of Open Government Data Portals; extracting User Interests from Operation Logs on Museum Devices for Post-Learning; A Motivational Design Approach to Integrate MOOCs in Traditional Classrooms; analysis of Crowdsourced Multilingual Keywords in the Futaba Digital Archive: Lessons Learned for Better Metadata Collection; aging Well with Health Information: Examining Health Literacy and Information Seeking Behavior Using a National Survey Dataset; entity Linking for Historical Documents: Challenges and Solutions; a Framework for Classifying Temporal Relations with Question Encoder; using Deep Learning to Recognize Handwritten Thai Noi Characters in Ancient Palm Leaf Manuscripts; unchiku Generation Using Narrative Explanation Mechanism; analyzing the Stage Performance Structure of a Kabuki-Dance, Kyoganoko Musume Dojoji, Using an Animation System; artwork Information Embedding Framework for Multi-source Ukiyo-e Record Retrieval; a Preliminary Attempt to Evaluate Machine Translations of Ukiyo-e Metadata Records; collective Sensemaking and Location-Related Factors in the Context of a Brand-Related Online Rumor; identifying the Types of Digital Footprint Data Used to Predict Psychographic and Human Behaviour; Profiling Bot Accounts Mentioning COVID-19 Publications on Twitter; Uncovering Topics Related to COVID-19 Pandemic on Twitter; classification in the LdoD Archive: A Crowdsourcing and Gamification Approach; When to Use OCR Post-correction for Named Entity Recognition?.",,,,English,Conference Review,Final,Scopus
[No author name available],"14th International Conference on Universal Access in Human-Computer Interaction, UAHCI 2020, held as part of the 22nd International Conference on Human-Computer Interaction, HCII 2020",2020,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),,,"The proceedings contain 80 papers. The special focus in this conference is on Universal Access in Human-Computer Interaction. The topics include: Interest and requirements for sound-awareness technologies among deaf and hard-of-hearing users of assistive listening devices; providing a tangible and visual feedback of affective states self-expressions; accessible computer science for k-12 students with hearing impairments; competencies for educators in delivering digital accessibility in higher education; mya+ math: teaching math to students with vision impairment; video games to foster empathy: a critical analysis of the potential of detroit: become human and the walking dead; metuiga “methodology for the design of systems based on tangible user interfaces and gamification techniques”: case study: teaching geometry in children with visual problems; makerspaces for inclusive education; situated ability: a case from higher education on digital learning environments; using augmented reality and concept mapping to improve ability to master social relationships and social reciprocity for children with autism spectrum disorder; digital skills for people with disabilities in a learning and demonstration experience laboratory: the project, “emscher-lippe hoch 4”; digitally-supported inclusive vocational education: conceptual considerations for the hotel and restaurant industry; design of a tangible programming tool for students with visual impairments and low vision; accessible learning management systems in higher education; open government data through the lens of universal design; cultural inclusion and access to technology: bottom-up perspectives on copyright law and policy in norway; the information repertoire of people with disabilities; stakeholder journey analysis for innovation: a multiparty analysis framework for startups.",,,,English,Conference Review,Final,Scopus
[No author name available],"6th International Conference on Data Science, ICDS 2019",2020,Communications in Computer and Information Science,,,"The proceedings contain 64 papers. The special focus in this conference is on Data Science. The topics include: Decision Tree and Knowledge Graph Based on Grain Loss Prediction; research on Assessment and Comparison of the Forestry Open Government Data Quality Between China and the United States; a Review on Technology, Management and Application of Data Fusion in the Background of Big Data; GAN-Based Deep Matrix Factorization for Recommendation Systems; The Feature of the B&R Exchange Rate: Comparison with Main Currency Based on EMD Algorithm and Grey Relational Degrees; simplification of 3D City Models Based on K-Means Clustering; dynamic Clustering of Stream Short Documents Using Evolutionary Word Relation Network; data Exchange Engine for Parallel Computing and Its Application to 3D Chromosome Modelling; image Quick Search Based on F-shift Transformation; functional Dependency Discovery on Distributed Database: Sampling Verification Framework; bankruptcy Forecasting for Small and Medium-Sized Enterprises Using Cash Flow Data; pairs Trading Based on Risk Hedging: An Empirical Study of the Gold Spot and Futures Trading in China; A Rectified Linear Unit Model for Diagnosing VCSEL’s Power Output; blockchain Based High Performance User Authentication in Electric Information Management System; a Blockchain Based Secure Data Transmission Mechanism for Electric Company; design and Implementation of a Blockchain Based Authentication Framework: A Case Study in the State Grid of China; comprehensive Evaluation Model on New Product Introduction of Convenience Stores Based on Multidimensional Data; evolutionary Mechanism of Risk Factor Disclosure in American Financial Corporation Annual Report; a New Type Wireless Data Center of Comb Topology.",,,,English,Conference Review,Final,Scopus
[No author name available],"4th International Conference on Soft Computing and Data Mining, SCDM 2020",2020,Advances in Intelligent Systems and Computing,,,"The proceedings contain 44 papers. The special focus in this conference is on Soft Computing and Data Mining. The topics include: A Mechanism to Support Agile Frameworks Enhancing Reliability Assessment for SCS Development: A Case Study of Medical Surgery Departments; Header Based Email Spam Detection Framework Using Support Vector Machine (SVM) Technique; Designing Deep Neural Network with Chicken Swarm Optimization for Violence Video Classification Using VSD2014 Dataset; A Comparison of Weighted Support Vector Machine (WSVM), One-Step WSVM (OWSVM) and Iteratively WSVM (IWSVM) for Mislabeled Data; economic Load Dispatch Problem via Simulated Annealing Method; mathematical Modeling of Multimodal Transportation Risks; a Hybrid Social Mining Approach for Companies Current Reputation Analysis; Incorporating the Markov Chain Model in WBSN for Improving Patients’ Remote Monitoring Systems; enhanced Bat Algorithm for Solving Non-Convex Economic Dispatch Problem; reducing the Effects of Time Cheating on the Performance of Divisible Load Scheduling Using Analytical Hierarchy Process; Lungs Cancer Nodules Detection from CT Scan Images with Convolutional Neural Networks; implementing Virtual Machine: A Performance Evaluation; survey of Offline Arabic Handwriting Word Recognition; a Comparative Analysis of Open Government Data in Several Countries: The Practices and Problems; a Fuzzy Logic Technique for Optimizing Follicular Units Measurement of Hair Transplantation; residual Neural Network Vs Local Binary Convolutional Neural Networks for Bilingual Handwritten Digit Recognition; source Camera Identification for Online Social Network Images Using Texture Feature; Mental Health App Reviews Analyzer (MHARA) Using Logistic Regression and Tri-Gram; A Review on Smart IOT Based Parking System; classification of Metamorphic Virus Using N-Grams Signatures.",,,,English,Conference Review,Final,Scopus
"Wisnubhadra I., Kamal Baharin S.S., Herman N.S.",Open Spatiotemporal Data Warehouse for Agriculture Production Analytics,2020,International Journal of Intelligent Engineering and Systems,,"Informatics Engineering Department, Universitas Atma Jaya Yogyakarta, Indonesia; Centre for Advanced Computing Technology, Faculty of Information and Communication Technology, Universiti Teknikal Malaysia Melaka, Malaysia","Business Intelligence (BI) technology with Extract, Transform, and Loading process, Data Warehouse, and OLAP have demonstrated the ability of information and knowledge generation for supporting decision making. In the last decade, the advancement of the Web 2.0 technology is improving the accessibility of web of data across the cloud. Linked Open Data, Linked Open Statistical Data, and Open Government Data is increasing massively, creating a more significant computer-recognizable data available for sharing. In agricultural production analytics, data resources with high availability and accessibility is a primary requirement. However, today’s data accessibility for production analytics is limited in the 2 or 3-stars open data format and rarely has attributes for spatiotemporal analytics. The new data warehouse concept has a new approach to combine the openness of data resources with mobility or spatiotemporal data in nature. This new approach could help the decision-makers to use external data to make a crucial decision more intuitive and flexible. This paper proposed the development of a spatiotemporal data warehouse with an integration process using service-oriented architecture and open data sources. The data sources are originating from the Village and Rural Area Information System (SIDeKa) that capture the agricultural production transaction in a daily manner. This paper also describes the way to spatiotemporal analytics for agricultural production using a new spatiotemporal data warehouse approach. The experiment results, by executing six relevant spatiotemporal query samples on DW with fact table contains 324096 tuples with temporal integer/float for each tuple, 4495 tuples of field dimension with geographic data as polygons, 80 tuples of village dimension, dozens of tuples of the district, subdistrict, province dimensions. The DW time dimension contains 3653 tuples representing a date for ten years, proved that this new approach has a convenient, simple model, and expressive performance for supporting executive to make decisions on agriculture production analytics based on spatiotemporal data. This research also underlines the prospects for scaling and nurturing the spatiotemporal data warehouse initiative. © 2020",Agriculture production analytics; Data warehouse; Open data; Spatiotemporal,,"Wisnubhadra, I.; Centre for Advanced Computing Technology, Malaysia",English,Article,Final,Scopus
Chen P.-Y.,Academic social networks and collaboration patterns,2019,Library Hi Tech,1,"Industry, Science and Technology International Strategy Center, Industrial Technology Research Institute, Hsinchu, Taiwan","Purpose: This study attempts to use a new source of data collection from open government data sets to identify potential academic social networks (ASNs) and defines their collaboration patterns. The purpose of this paper is to propose a direction that may advance our current understanding on how or why ASNs are formed or motivated and influence their research collaboration. Design/methodology/approach: This study first reviews the open data sets in Taiwan, which is ranked as the first state in Global Open Data Index published by Open Knowledge Foundation to select the data sets that expose the government’s R&D activities. Then, based on the theory review of research collaboration, potential ASNs in those data sets are identified and are further generalized as various collaboration patterns. A research collaboration framework is used to present these patterns. Findings: Project-based social networks, learning-based social networks and institution-based social networks are identified and linked to various collaboration patterns. Their collaboration mechanisms, e.g., team composition, motivation, relationship, measurement, and benefit-cost, are also discussed and compared. Originality/value: In traditional, ASNs have usually been known as co-authorship networks or co-inventorship networks due to the limitation of data collection. This study first identifies some ASNs that may be formed before co-authorship networks or co-inventorship networks are formally built-up, and may influence the outcomes of research collaborations. These information allow researchers to deeply dive into the structure of ASNs and resolve collaboration mechanisms. © 2019, Emerald Publishing Limited.",Academic libraries; Collaborative alliances; Data collection; Information networks; Information society; Research,,"Chen, P.-Y.; Industry, Taiwan; email: pychen@itri.org.tw",English,Article,Final,Scopus
"Sanaei M., Taslimi M.S., AbdolhoseinZadeh M., Khani M.H.",A study and analysis of the open government data ecosystem models,2019,Iranian Journal of Information Processing Management,,"Science and Technology Policy, United States; Management Faculty, Tehran University, Iran; Public Administration, Allameh Tabatabaei University, Iran; Imam Sadiq University, Iran","The conversion of published data by government to a value and social effect is not done automatically and requires a number of actors with different functions that by activating and connecting them with each other, we can use data. The sum of these actors, stakeholders and their functions is called the Open Government Data Ecosystem. This study aims to understand the ecosystem of open government data and analysis of selected open government ecosystem models is formed. Present study is an exploratory study that seeks to analyze international models of open government data ecosystem, and identify and monitor the elements and components of the open government data ecosystem. Open government data ecosystem models were redefined and its contents were extracted by content analysis method and then compared and evaluated. Units in this study are open government data ecosystem models and sampling is targeted sampling. In the first stage, 36 models were identified by searching and reviewing the models of open government data ecosystems. Finally, by studying these models and identifying the similarities and aggregating of some models, based on targeted sampling, the researchers considered 12 models of open government data ecosystem and by examining them they extracted the data and information from these models. The reason for choosing these 12 models is their reputation, influence, comprehensiveness and authority. By examining existing models, it has become clear that there is still no comprehensive model of an open government data ecosystem that could be the basis for developing an open government data policy. Summarizing or generalizing, paying attention to a part of the ecosystem, using a cyclic or value chain approach instead of ecosystems approach, and some of the models are an experience or specific area of the characteristics of ecosystem models. © 2019 Iranian Research Institute for Scientific Information and Documentation. All Rights Reserved.",Open Data; Open Data Policy; Open Government; Open Government Data; Open Government Data Ecosystem,,,Persian,Article,Final,Scopus
"Zuiderwijk A., Shinde R., Janssen M.",Investigating the attainment of open government data objectives: is there a mismatch between objectives and results?,2019,International Review of Administrative Sciences,16,"Delft University of Technology, Netherlands","The objectives of open government data initiatives range from enhancing transparency and accountability to increasing innovation and participation. However, there is a lack of knowledge of the extent to which the objectives of open government data initiatives are achieved. This article investigates the relationship between the objectives of open government data initiatives and the benefits delivered. A total of 168 survey responses concerning 156 open government data initiatives at different government levels worldwide suggest that operational and technical benefits are the benefits most often delivered, followed by economic benefits and, finally, societal benefits. Surprisingly, our study suggests that whether an open government data initiative delivers a benefit (e.g. increased openness, trust or innovation) is not significantly affected by having an objective related to the delivery of that benefit. The objectives of state- and national-level open government data initiatives are more often achieved than those of local- and regional-level open government data initiatives. © The Author(s) 2018.",attainment; benefits; delivery; evaluation; implementation; objectives; open data; open government; open government data; open science,administrative framework; economic analysis; governance approach; innovation; literature review; methodology,"Zuiderwijk, A.; Delft University of TechnologyNetherlands; email: a.m.g.zuiderwijk-vaneijk@tudelft.nl",English,Article,Final,Scopus
"de Juana-Espinosa S., Luján-Mora S.","Open government data portals in the European Union: Considerations, development, and expectations",2019,Technological Forecasting and Social Change,5,"Dpto. Organización de Empresas, Facultad de CC.EE. y EE., Campus de San Vicente, Universidad de Alicante, San Vicente del Raspeig, Alicante, 03690, Spain; Department of Software and Computing Systems, Campus de San Vicente, Universidad de Alicante, San Vicente del Raspeig, Alicante, 03690, Spain","The goal of open government data (OGD) initiatives is to promote transparency, efficiency and public participation in public management policies. To do so, public organizations must consider which elements might help the development of their open government data portals (OGDP). This paper studies the evolution of OGDP in the 28 countries of the European Union (EU) in a multidisciplinary setting. Whereas the comparative frameworks in the literature are mostly based only on technological parameters, this exploratory research aims to uncover which factors might uphold the successful development of OGDP through the analysis of the relationships between a number of technical and socioeconomical indicators over a period of three years (2015–2017), using a clustering methodology. The results show that EU countries are slowly homogenizing their OGD approaches into two currents/speeds, based mainly on economic factors and open government development status. The originality of this research lies in the sense that it provides not only a technical benchmark, but also a longitudinal and multidisciplinary perspective that will add to the current formulation of OGD policies and practices in any international setting. © 2019 Elsevier Inc.",Cluster analysis; European Union; Longitudinal analysis; Open government data (OGD); Socioeconomic indicators,Cluster analysis; Government data processing; European union; Exploratory research; Longitudinal analysis; Multidisciplinary perspectives; Open government data (OGD); Public participation; Socio-economic indicators; Technological parameters; Open Data; cluster analysis; data set; European Union; government; socioeconomic indicator,"de Juana-Espinosa, S.; Dpto. Organización de Empresas, San Vicente del Raspeig, Spain; email: susana.espinosa@ua.es",English,Article,Final,Scopus
"Zainal N.Z., Hussin H., Rahim N.H.A., Nazri M.N.M., Suhaimi M.A.",Open government data use by Malaysian researchers. some empirical evidence,2019,"International Conference on Research and Innovation in Information Systems, ICRIIS",1,"University Teknologi MARA, Kampus Puncak Alam, Faculty of Business and Management, Selangor, Malaysia; International Islamic University Malaysia, Kulliyyah of Information and Communication Technology, Selangor, Malaysia","Sharing data by the government with citizens will lead to a more transparent and trustworthy government. Open Government Data (OGD) has been initiated by many governments worldwide aiming to publicly and freely share government data via online. In a similar effort, the government of Malaysia has launched an OGD portal in 2014 and currently more than 12,000 data sets are available for citizens and businesses to access. However, there is a concern on the level of usage of these datasets. Additionally, there is lack of empirical studies done to understand this issue. The purpose of this study is to fill this gap. Based on a questionnaire survey method, data was collected from Malaysian researchers and academicians to understand their use of OGD. Despite a rather small sample of 62 responses, the findings shed light on the access and purposes of using OGD in the Malaysia context. © 2019 IEEE.",OGD Malaysia; OGD portal; OGD Use; Open government data,Data Sharing; Government data processing; Information systems; Information use; Surveys; Empirical studies; Malaysia; Malaysians; Questionnaire surveys; Small samples; Open Data,,English,Conference Paper,Final,Scopus
"Alzamil Z.S., Vasarhelyi M.A.",A new model for effective and efficient open government data,2019,International Journal of Disclosure and Governance,2,"Rutgers, The State University of New Jersey, One Washington Park, Newark, NJ  07102, United States; Majmaah University, Al Majmaah, Saudi Arabia","Open government data (OGD) is attracting stakeholders from different backgrounds. The call for OGD has been especially pronounced in the last 6 or 7 years. OGD demand accelerated after the launch of the US OGD initiative portal in 2009, followed by the UK in 2010. Before that, the availability and accessibility of government data were limited to certain executives and few government employees, whereas for others, it was either partially available or completely unavailable. Publishing government data, thereby making it available to the public, could be useful in many ways such as increasing transparency and accountability in governments, increasing overall efficiency and performance, encouraging publics’ engagement, and achieving trust and reputation. As an example of the role that OGD may provide, this paper compares the different financial reporting and auditing systems in the public sector between Brazil and Saudi Arabia. Also, the paper examines OGD initiatives among different countries with the focus of the Republic of Brazil and the Kingdom of Saudi Arabia’s open data portals. Moreover, it assesses the level of data transparency based on the definition of the open data model, and more importantly, the paper suggests new dimensions to the open data concept when utilized by governments. In addition, it argues that the OGD in Saudi Arabia, which is an emerging initiative in a country that has centralized power, could be improved dramatically. We demonstrate by using a sample of procurement contracts data taken from the Council of Saudi Chambers Web site, which is publicly available and shows the potential of monitoring or auditing public spending. © 2019, Springer Nature Limited.",Auditing; Data transparency; Effective and efficient governments; Financial reporting; Open government data; Saudi Arabia,,"Vasarhelyi, M.A.; Rutgers, One Washington Park, United States; email: miklosv@business.rutgers.edu",English,Article,Final,Scopus
"Kim J.H., Eom S.-J.",The managerial dimension of open data success: Focusing on the open data initiatives in Korean local governments,2019,Sustainability (Switzerland),2,"Center of Intelligent Society and Policy, Seoul National University, Seoul, 08826, South Korea; Graduate School of Public Administration, Seoul National University, Seoul, 08826, South Korea","Open government data (open data) initiatives have been at the forefront of the strategy to make more transparent, responsive, and accountable government, and thereby lead to open innovation across the public and private sector. Governments around the world often understand that open data is disclosing their data to the public as much as possible and that open data success is the result of a data and technology-related endeavor rather than the result of organizational, institutional, and environmental attributes. According to the resource-based theory, however, managerial capability to mobilize tangible and intangible resources and deploy them in adequate places or processes under the leadership of capable leaders during the information technology (IT) project is a core factor leading to organizational performance such as open data success. In this vein, this study aims to analyze managerial factors as drivers and challenges of open data success from the resource-based theory. Findings illustrate that managerial factors are the driving forces that often boost or hinder open data success when institutional, socio-economic, and demographic factors are controlled. Discussion illustrates theoretical and practical implications for the managerial factors as drivers and challenges of open data success in terms of the comparison between technological determinism and the socio-technical perspective. © 2019 by the authors. Licensee MDPI, Basel, Switzerland.",Managerial capability; Open data; Open innovation; Socio-technical perspective; Technological determinism,demography; environmental factor; governance approach; information technology; innovation; institutional framework; leadership; local government; national strategy; performance assessment; Korea,"Eom, S.-J.; Graduate School of Public Administration, South Korea; email: sjum21@snu.ac.kr",English,Article,Final,Scopus
"Wisnubhadra I., Adithama S.P., Baharin S.S.K., Herman N.S.",Agriculture Spatiotemporal Business Intelligence using Open Data Integration,2019,"2019 2nd International Seminar on Research of Information Technology and Intelligent Systems, ISRITI 2019",,"Atma Jaya Yogyakarta University, Informatics Engineering Department, Yogyakarta, Indonesia; Universiti Teknikal Malaysia Melaka, Centre for Advanced Computing Technology Faculty of Information and Communication Technology, Melaka, Malaysia","Business Intelligence is a technology for collecting, transforming, and presenting data for analysis as a tool for supporting decision making. Business Intelligence using Data Warehouse, Multidimensional data, and Online Analytical Processing (OLAP) has proven to be useful for obtaining information and knowledge relevant to the business. Nowadays the development of the internet with Web 2.0 model is increasing the availability of data over the internet. Linked Open Data (LOD), Open Data, and Open Government Data is constantly growing, producing a large amount of valuable data in the form of semi-structured data, flexible and machine-readable. Data sharing on agricultural production is one of the requirements for the best of analysis of agricultural production, but most of the data is still in the format of 2/3-stars open data and does not yet have spatial data that facilitates analysis based on spatial dimensions. The emerging open data concept makes the data warehouse more dynamic and can accommodate external data. Spatiotemporal support in open data also enables a more sophisticated analysis of data with spatial queries. This research develops tools to integrate agricultural data originating from the Village and Rural Area Information Systems (SIDeKa) that has open distributed data, a service-oriented approach, and spatiotemporal data. This paper also describes the design of business intelligence and multidimensional data for analysis and decision-making tools that enable spatiotemporal and non-spatial based analysis. This paper also highlights the opportunities for scaling and sustaining the initiative. © 2019 IEEE.",Agriculture; Business Intelligence; Decision Support System; Open Data; Spatiotemporal Data Warehouse,Agricultural robots; Agriculture; Data integration; Data Sharing; Data warehouses; Decision making; Information analysis; Information services; Intelligent systems; Metadata; Rural areas; Spatial variables measurement; Agricultural productions; Decision making tool; Linked open data (LOD); Multidimensional data; On-line analytical processing; Semi structured data; Service-oriented approaches; Spatio-temporal data; Open Data,,English,Conference Paper,Final,Scopus
"Konstantinou N., Abel E., Bellomarini L., Bogatu A., Civili C., Irfanie E., Koehler M., Mazilu L., Sallinger E., Fernandes A.A.A., Gottlob G., Keane J.A., Paton N.W.",VADA: an architecture for end user informed data preparation,2019,Journal of Big Data,6,"School of Computer Science, University of Manchester, Oxford Road, Manchester, United Kingdom; Applied IT Research Unit, Banca d’Italia, Rome, Italy; Laboratory for Foundations of Computer Science, University of Edinburgh, Crichton Street, Edinburgh, United Kingdom; Department of Computer Science, University of Oxford, Parks Road, Oxford, United Kingdom","Background: Data scientists spend considerable amounts of time preparing data for analysis. Data preparation is labour intensive because the data scientist typically takes fine grained control over each aspect of each step in the process, motivating the development of techniques that seek to reduce this burden. Results: This paper presents an architecture in which the data scientist need only describe the intended outcome of the data preparation process, leaving the software to determine how best to bring about the outcome. Key wrangling decisions on matching, mapping generation, mapping selection, format transformation and data repair are taken by the system, and the user need only provide: (i) the schema of the data target; (ii) partial representative instance data aligned with the target; (iii) criteria to be prioritised when populating the target; and (iv) feedback on candidate results. To support this, the proposed architecture dynamically orchestrates a collection of loosely coupled wrangling components, in which the orchestration is declaratively specified and includes self-tuning of component parameters. Conclusion: This paper describes a data preparation architecture that has been designed to reduce the cost of data preparation through the provision of a central role for automation. An empirical evaluation with deep web and open government data investigates the quality and suitability of the wrangling result, the cost-effectiveness of the approach, the impact of self-tuning, and scalability with respect to the numbers of sources. © 2019, The Author(s).",Data integration; Data preparation; Data quality,,"Paton, N.W.; School of Computer Science, Oxford Road, United Kingdom; email: norman.paton@manchester.ac.uk",English,Article,Final,Scopus
"Degbelo A., Teka B.B.",Spatial search strategies for open government data: A systematic comparison,2019,ACM International Conference Proceeding Series,1,"Institute of Geography, Osnabrück University, Osnabrück, Germany; Institute for Geoinformatics, University of Münster, Münster, Germany","The increasing availability of open government datasets on the Web calls for ways to enable their efficient access and searching. There is however an overall lack of understanding regarding spatial search strategies which would perform best in this context. To address this gap, this work has assessed the impact of different spatial search strategies on performance and user relevance judgment. We harvested machine-readable spatial datasets and their metadata from three English-based open government data portals, performed metadata enhancement, developed a prototype and performed both a theoretical and user-based evaluation. The results highlight that (i) switching between area of overlap and Hausdorff distance for spatial similarity computation does not have any substantial impact on performance; and (ii) the use of Hausdorff distance induces slightly better user relevance ratings than the use of area of overlap. The data collected and the insights gleaned may serve as a baseline against which future work can compare. © 2019 Copyright held by the owner/author(s).",Area of Overlap; Hausdorff distance; Open Government Data; Relevance; Spatial Search,Geometry; Government data processing; Information retrieval; Metadata; Open Data; Area of Overlap; Hausdorff distance; Open Government Data; Relevance; Spatial search; Search engines,,English,Conference Paper,Final,Scopus
[No author name available],"Proceedings of the 13th Workshop on Geographic Information Retrieval, GIR 2019",2019,ACM International Conference Proceeding Series,,,"The proceedings contain 7 papers. The topics discussed include: estimating locations of social media content through a graph-based link prediction; spatial search strategies for open government data: a systematic comparison; resolving places, past and present: toponym resolution in historical British newspapers using multiple resources; local geographic information storing and querying using Elasticsearch; assessing flood severity from georeferenced photos; a theatre of places; and how to identify appropriate key-value pairs for querying OSM.",,,,English,Conference Review,Final,Scopus
"Dos Reis C.P., Jr., Da Silva W.M.C., Martins L.C.B., Pinheiro R., Victorino M.C., Holanda M.",Enhancing open government data with data provenance,2019,"11th International Conference on Management of Digital EcoSystems, MEDES 2019",,"University of Brasília (UnB), Brasília - DF, Brazil; Federal Institute of Goiás, Luziânia, GO, Brazil","The Brazilian Government has adhered to the Linked Open Government Data publication policy. Thus, promoting a more transparent and open administration, allowing greater participation of society, the strengthening of democracy, and combating corruption. All of these matters can be affected by how open data is published. Beyond the data itself, data provenance allows aggregate metadata such as when, how, and why the data were created and published. Given this scenario, we consider that the combination of data and its provenance enriches the traceability of the data exposing the methods and agents involved in its creation. This paper presents a technological solution in the context of Linked Open Government Data to enhance the public open government data publishing. It is delivered employing an information architecture that can provide the data provenance of public open government data using the PROV-DM and a graph database. In addition, we also present an implementation of the proposed information architecture for a public open linked data as a case study. © 2019 Association for Computing Machinery.",Linked Open Data; Open Government Data; PROV-DM; Provenance,Ecosystems; Government data processing; Information management; Information retrieval; Linked data; Data publications; Data publishing; Information architectures; Linked open datum; Open Government Data; PROV-DM; Provenance; Technological solution; Open Data,,English,Conference Paper,Final,Scopus
"Spiliotopoulos D., Margaris D., Vassilakis C.",Citizen engagement for transparent and accountable policy modelling,2019,"11th International Conference on Management of Digital EcoSystems, MEDES 2019",,"Department of Informatics and Telecommunications, University of the Peloponnese, Tripoli, Greece; Department of Informatics and Telecommunications, University of the Athens, Athens, Greece","This work presents a platform for linked legislative data to engage citizens in transparent and effective democracies. With a focus on scaling up participatory approaches from local to national level, the approach extends well established and open source tools and technologies, to build mobile monitoring and analysis tools that increase transparency of law-making and implementation to citizens. This is achieved by combining open data and open services with user and citizen generated content, in order to address citizen's needs in the context of open government. Data and feeds from trusted sources are interconnected with new and re-purposed data feeds generated by users via the social web to form a meaningful, searchable, customizable, re-usable and open data-focused personalised mobile public service approach. The framework exploits the social aspects of open data, as well as the training of users, citizens and public servants to be able to understand and demand useful public open data, as well as facilitate the opening of more data. © 2019 Copyright is held by the owner/author(s).",Accountability; Citizen Engagement; e-Government; Legislation; Mobile Public Services; Natural Language Processing; Policy Modelling; Transparency,e-government; Ecosystems; Electronic data interchange; Laws and legislation; Modeling languages; Natural language processing systems; Social aspects; Transparency; Accountability; Citizen engagements; Mobile monitoring; NAtural language processing; Open source tools; Participatory approach; Public servants; Public services; Open Data,,English,Conference Paper,Final,Scopus
"Caldag M.T., Gokalp M.O., Gokalp E.",Open Government Data: Analysing Benefits and Challenges,2019,"1st International Informatics and Software Engineering Conference: Innovative Technologies for Digital Transformation, IISEC 2019 - Proceedings",1,"Başkent Üniversitesi, Teknoloji Ve Bilgi Yönetimi Bölümü, Ankara, Turkey; O.D.T.Ü., Enformatik Enstitüsü, Ankara, Turkey","Open Government Data enables stakeholders to monitor and participate in governance processes by accessing governance information and decision-making areas while providing transparency, accountability, cooperation, participation, new job opportunities that provide public benefits. However, many open government data initiatives either fail or never start because of the challenges it has. After conducting the systematic literature review, it was determined that there is a lack of study covering analyzing the benefits and challenges of open government data in a holistic perspective and providing a road map to overcome these difficulties for our country. In order to satisfy this gap, this study aims to define the benefits and challenges of open government data from a holistic socio-technical perspective and derive a roadmap including guidelines to overcome these difficulties for the benefit of organizations aiming to transition to open government data. © 2019 IEEE.",Benefit and Challenge Analysis; Open Data; Open Government Data; Road Map; Socio-Technic Approach,Decision making; Government data processing; Maps; Software engineering; Benefit and challenges; Holistic perspectives; Job opportunities; Open Government Data; Road-maps; Socio-Technic Approach; Socio-technical perspective; Systematic literature review; Open Data,,English,Conference Paper,Final,Scopus
Ciganek J.,Design and Implementation of Open-data Data Warehouse,2019,ACCS/PEIT 2019 - 2019 6th International Conference on Advanced Control Circuits and Systems and 2019 5th International Conference on New Paradigms in Electronics and Information Technology,1,"Faculty of Electrical Engineering and Information Technology, Slovak University of Technology in Bratislava, Bratislava, Slovakia","The main purpose of the paper is to implement a data warehouse using opendata from various sources. We bring the overview of the data warehouse fundamentals in general and also the motivation of the open-data. The data supposed to provide various answers and offer suitable decision making for the general public. The implementation consists of various technologies. The target is to find open government data and to analyze the data to create a business model while meeting the data warehouse requirements such as ensure quality, integrity and consistency of the data transformation and integration. The key object of the data warehouse is to make it available and accessible for anyone. © 2019 IEEE.",Data warehouse; Database; Design; Dimensional modeling; Implementation; Open-data; Open-government,Data warehouses; Decision making; Metadata; Business modeling; Data transformation; Design and implementations; General publics; Key object; Various technologies; Open Data,"Ciganek, J.; Faculty of Electrical Engineering and Information Technology, Slovakia; email: jan.ciganek@stuba.sk",English,Conference Paper,Final,Scopus
Saxena S.,An evaluation of the national open government data (OGD) portal of the United Arab Emirates,2019,Digital Transformation in Business and Society: Theory and Cases,,"Central University of Haryana, Mohindergarh, India",[No abstract available],,,"Saxena, S.; Central University of HaryanaIndia; email: stutisaxena6691@cuh.ac.in",English,Book Chapter,Final,Scopus
